title,link
"U.S. v. The AAV Companies; ARA Services Inc., and Western Vending Machine Company",https://www.justice.gov/atr/case/us-v-aav-companies-et-al
U.S. v. Timour Abramov,https://www.justice.gov/atr/case/us-v-timour-abramov
"U.S. v. Acme Meat Co; Bristol foods, Inc, d/b/a Gold Pak Meat Co; Delta Meat Packing Co; Federal Meat Co; Gem Packing Co; Globe Packing Co; Great Western Packing Co; Meat Packers, Inc; O.K. Meat Packing Co; Quality Meat Packing Co; Serv-U Meat Packing Co; Shamrock Meats, Inc; Union Packing Co; and Ward Foods, Inc.",https://www.justice.gov/atr/case/usv-acme-meat-co-et-al
U.S. v. Acorn Engineering Company,https://www.justice.gov/atr/case/us-v-acorn-engineering-co
"U.S. v. Activision Blizzard, Inc.",https://www.justice.gov/atr/case/us-v-activision-blizzard-inc
"U.S. v. Addison-Wesley Publishing Company; Bantam Books, Inc.; Columbia Broadcasting System, Inc.; Del Publishing Co., Inc.; Doubleday & Company, Inc.; Grosset & Dunlap, Inc.; Harcourt Brace Jovanovich, Inc.; Harper & Row, Publishers, Inc.; Houghton Mifflin Company Intext, Inc.; Litton Educational Publishing, Inc.; MacMillan, Inc.; McGraw-Hill, Inc.; Oxford University Press, Inc.; Penguin Books, Inc.; Prentice-Hall, Inc.; Random House, Inc.; Simon & Schuster, Inc.; The Times Mirror Company; The Viking Press, Inc., and John Wiley & Sons, Inc.",https://www.justice.gov/atr/case/us-v-addison-wesley-publishing-company-et-al
U.S. v. Aero Limited Partnership.,https://www.justice.gov/atr/case/us-v-aero-limited-partnership
"U.S. and Plaintiff States v. Aetna Inc., and Humana Inc.",https://www.justice.gov/atr/case/us-and-plaintiff-states-v-aetna-inc-and-humana-inc
"U.S. v. Agri - Mark, Inc., et al.",https://www.justice.gov/atr/case/us-v-agri-mark-inc-et-al
"U.S. v. Agri Stats, Inc.",https://www.justice.gov/atr/case/us-v-agri-stats-inc
U.S. v. Mashnoon Ahmed,https://www.justice.gov/atr/case/us-v-mashnoon-ahmed
"U.S. v. Air Conditioning and Refrigeration Wholesalers; Allied Chemical Corporation; E.I. du Pont de Nemours & Company ; Kaiser Aluminum & Chemical Corporation ; Kaiser Aluminum & Chemical Corporation ; Kaiser Aluminum & Chemical Corporation; Kaiser Aluminum & Chemical Sales, Inc. ; Pennwalt Corporation ; Racon Incorporated ; Union Carbide Corporation",https://www.justice.gov/atr/case/us-v-air-conditioning-and-refrigeration-wholesalers-et-al
U.S. v. Akshay Aiyer,https://www.justice.gov/atr/case/us-v-akshay-aiyer
U.S. v. Mueen Akhter,https://www.justice.gov/atr/case/us-v-mueen-akhter
U.S. v. Alameda County Veterinary Medical Association,https://www.justice.gov/atr/case/us-v-alameda-county-veterinary-medical-association
"U.S. v. Alaska Air Group, Inc., and Virgin America Inc.",https://www.justice.gov/atr/case/us-v-alaska-air-group-inc-and-virgin-america-inc
"U.S. v. Alaska Board of Registration for Architects, Engineers and Land Surveyors",https://www.justice.gov/atr/case/us-v-alaska-board-registration-architects-engineers-and-land-surveyors-0
"U.S. v. Albertson's Inc., et al.",https://www.justice.gov/atr/case/us-v-albertsons-inc-et-al
