date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2026-03-26,20261067,"The Resolute Fund VI, L.P.","Pharos Capital Partners II-A, L.P.","Alereon, Inc.","20261067: The Resolute Fund VI, L.P.; Pharos Capital Partners II-A, L.P."
2026-03-26,20261043,"General Atlantic Partners 100, L.P.","European Wax Center, Inc.","European Wax Center, Inc.; EWC Ventures, LLC","20261043: General Atlantic Partners 100, L.P.; European Wax Center, Inc."
2026-03-26,20261044,"Palo Alto Networks, Inc.",Koi Security Ltd.,Koi Security Ltd.,"20261044: Palo Alto Networks, Inc.; Koi Security Ltd."
2026-03-26,20261059,"KPS Special Situations Fund VI (A), LP","Jennmar Super Holdings, LLC","Jennmar Super Holdings, LLC; Jennmar Intermediate Holdings, Inc.","20261059: KPS Special Situations Fund VI (A), LP; Jennmar Super Holdings, LLC"
2026-03-26,20261061,Rosebank Industries PLC,"American Securities Partners VII, L.P.","ASP CPM Holdings, Inc.; ASP MWI Holdings, Inc.","20261061: Rosebank Industries PLC; American Securities Partners VII, L.P."
2026-03-26,20260974,Jonathan Oringer,"Shutterstock, Inc.","Shutterstock, Inc.","20260974: Jonathan Oringer; Shutterstock, Inc."
2026-03-26,20260997,CVC Capital Partners VIII (A) L.P.,"Equine Network Holdings, LLC","Equine Network Holdings, LLC","20260997: CVC Capital Partners VIII (A) L.P.; Equine Network Holdings, LLC"
2026-03-26,20261000,Eli Lilly and Company,InSilico Medicine Cayman TopCo,Insilico Medicine IP Limited; Insilico Medicine Ltd.; InSilico Medicine Hong Kong Limited; InSilico Medicine US Inc.,20261000: Eli Lilly and Company; InSilico Medicine Cayman TopCo
2026-03-26,20261036,Gentherm Incorporated,Modine Manufacturing Company,"Platinum SpinCo, Inc.",20261036: Gentherm Incorporated; Modine Manufacturing Company
2026-03-26,20260962,"QXO, Inc.","Court Square Capital Partners III, L.P.",Kodiak Building Partners Inc.,"20260962: QXO, Inc.; Court Square Capital Partners III, L.P."
2026-03-24,20261027,"Wellspring Capital Partners VI, L.P.","Angus C. Littlejohn, Jr. and Leslie Littlejohn","Maysteel Investco, LLC","20261027: Wellspring Capital Partners VI, L.P.; Angus C. Littlejohn, Jr. and Leslie Littlejohn"
2026-03-24,20261033,"Wynnchurch Capital Partners VI, L.P.","Arcosa, Inc.","Arcosa Marine Products, Inc.","20261033: Wynnchurch Capital Partners VI, L.P.; Arcosa, Inc."
2026-03-24,20261035,"Ridgepost Capital, Inc.",Robert T. Ladd,"Stellus Capital Management, LLC","20261035: Ridgepost Capital, Inc.; Robert T. Ladd"
2026-03-24,20261004,"PennyMac Financial Services, Inc.",Cenlar Capital Corporation,Cenlar Capital Corporation,"20261004: PennyMac Financial Services, Inc.; Cenlar Capital Corporation"
2026-03-24,20261008,"Aura Consolidated Group, Inc.",Qoria Limited,Qoria Limited,"20261008: Aura Consolidated Group, Inc.; Qoria Limited"
2026-03-24,20261015,"H.I.G. Advantage Buyout Fund II, L.P.",Tiger Infrastructure Partners Fund III AIV (Cayman) LP,"IAC U.S. Holdings GP, LLC; Basel U.S. Acquisition Co.; Picasso Holdings U.S. LP","20261015: H.I.G. Advantage Buyout Fund II, L.P.; Tiger Infrastructure Partners Fund III AIV (Cayman) LP"
2026-03-24,20261021,WPCS Sunnyside Aggregator Ltd.,Ricardo Castellar de Faria,Global Eggs S.a.r.l.,20261021: WPCS Sunnyside Aggregator Ltd.; Ricardo Castellar de Faria
2026-03-24,20261026,Booz Allen Hamilton Holding Corporation,"SCM Security Holdings, LLC","SCM Security Holdings, LLC","20261026: Booz Allen Hamilton Holding Corporation; SCM Security Holdings, LLC"
2026-03-24,20260990,"Bridge Growth Partners Seasmoke, LP",Project Senator Holding LP,Solace Parent Inc.,"20260990: Bridge Growth Partners Seasmoke, LP; Project Senator Holding LP"
2026-03-24,20260992,CVC Capital Partners plc,"Marathon GP Holdings II, LLC","Marathon GP Holdings II, LLC","20260992: CVC Capital Partners plc; Marathon GP Holdings II, LLC"
2026-03-24,20260993,CVC Capital Partners plc,"Marathon Asset Management, L.P.","Marathon Asset Management, L.P.","20260993: CVC Capital Partners plc; Marathon Asset Management, L.P."
